CASRN,DTXSID,preferred_name,MammaryTumorEvidence,MammaryTumorRefs,Genotoxicity,HormoneSummary,INCHIKEY,SMILES
100-42-5,DTXSID2021284,Styrene,MC,"IARC, ROC15_equivocal, CCRIS, LCDB, Rudel2007",positive,-,PPBRXRYQALVLMV-UHFFFAOYSA-N,C=CC1=CC=CC=C1
101-14-4,DTXSID5020865,"4,4'-Methylenebis(2-chloroaniline)",MC,"IARC, ROC15, CCRIS, LCDB, Rudel2007",positive,-,IBOFVQJTBBUKMU-UHFFFAOYSA-N,C1=CC(=C(C=C1CC2=CC(=C(C=C2)N)Cl)Cl)N
1010-61-3,-,4-Hydroxyaminoquinoline 1-oxide hydrochloride,MC,"CCRIS, Rudel2007",-,-,QSXDAZCGWHRQME-VRTOBVRTSA-N,C1=CC=C2C(=C1)/C(=N/O)/C=CN2O.Cl
101200-48-0,DTXSID8024101,Tribenuron-methyl,MC,ToxRefDB,-,-,VLCQZHSMCYCDJL-UHFFFAOYSA-N,CC1=NC(=NC(=N1)OC)N(C)C(=O)NS(=O)(=O)C2=CC=CC=C2C(=O)OC
105650-23-5,DTXSID3037628,"2-Amino-1-methyl-6-phenylimidazo [4,5-b]pyridine",MC,"IARC, ROC15, CCRIS, LCDB, Rudel2007",positive,-,UQVKZNNCIHJZLS-UHFFFAOYSA-N,CN1C2=C(N=CC(=C2)C3=CC=CC=C3)N=C1N
10589-74-9,DTXSID4020084,1-Amyl-1-nitrosourea,MC,"LCDB, Rudel2007",positive,-,YYTNAQDGJQPZFU-UHFFFAOYSA-N,CCCCCN(C(=O)N)N=O
106-50-3,DTXSID9021138,"1,4-Benzenediamine",MC,IARC,positive,"E2, P4",CBCKQZAAMUWICA-UHFFFAOYSA-N,C1=CC(=CC=C1N)N
106-91-2,DTXSID0025361,Glycidyl methacrylate,MC,IARC,positive,-,VOZRXNHHFUQHIL-UHFFFAOYSA-N,CC(=C)C(=O)OCC1CO1
106-93-4,DTXSID3020415,"1,2-Dibromoethane",MC,"IARC, ROC15, NTP, CCRIS, LCDB, Rudel2007",positive,-,PAAZPARNPHGIKF-UHFFFAOYSA-N,C(CBr)Br
106-99-0,DTXSID3020203,"1,3-Butadiene",MC,"IARC, ROC15, NTP, CCRIS, LCDB, Rudel2007",positive,-,KAKZBPTYRLMSJV-UHFFFAOYSA-N,C=CC=C
107-06-2,DTXSID6020438,"1,2-Dichloroethane",MC,"IARC, ROC15, NTP, ToxRefDB, CCRIS, LCDB, Rudel2007",positive,-,WSLDOOZREJYCGB-UHFFFAOYSA-N,C(CCl)Cl
107-13-1,DTXSID5020029,Acrylonitrile,MC,"IARC, ROC15, CCRIS, LCDB, Rudel2007",positive,-,NLHHRLWOUZZQLW-UHFFFAOYSA-N,C=CC#N
110559-84-7,DTXSID4020610,1-Ethylnitroso-3-(2-oxopropyl)urea,MC,"CCRIS, LCDB, Rudel2007",-,-,FMKBEVQUKYPUEJ-UHFFFAOYSA-N,CCN(C(=O)NCC(=O)C)N=O
11097-69-1,DTXSID5020100,Aroclor 1254,MC,IARC,positive,-,AUGNBQPSMWGAJE-UHFFFAOYSA-N,C1=CC(=C(C(=C1)Cl)Cl)C2=C(C(=C(C=C2)Cl)Cl)Cl
1120-71-4,DTXSID8021195,"1,3-Propane sultone",MC,"IARC, ROC15, CCRIS, LCDB, Rudel2007",positive,negative,FSSPGSAQUIYDCN-UHFFFAOYSA-N,C1COS(=O)(=O)C1
113-38-2,DTXSID8023000,Estradiol dipropionate,MC,"CCRIS, Rudel2007",-,-,JQIYNMYZKRGDFK-RUFWAXPRSA-N,CCC(=O)O[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=C3C=CC(=C4)OC(=O)CC)C
118745-11-2,DTXSID701030249,"N-Formyl-N-hydroxy-4-aminostilbene, (E)-",MC,"CCRIS, Rudel2007",positive,-,ZRCLQGADDKPGRP-VOTSOKGWSA-N,C1=CC=C(C=C1)/C=C/C2=CC=C(C=C2)N(C=O)O
118745-12-3,DTXSID701030251,N-Hydroxy-N-propionyl-trans-4-aminostilbene,MC,"CCRIS, Rudel2007",positive,-,FYHCYBZRXZCUPO-CMDGGOBGSA-N,CCC(=O)N(C1=CC=C(C=C1)/C=C/C2=CC=CC=C2)O
119-90-4,DTXSID3025091,C.I. Disperse Black 6,MC,"IARC, ROC15, Rudel2007",positive,"E2, P4",JRBJSXQPQWSCCF-UHFFFAOYSA-N,COC1=C(C=CC(=C1)C2=CC(=C(C=C2)N)OC)N
119-93-7,DTXSID5024059,"3,3'-Dimethylbenzidine",MC,"IARC, ROC15, Rudel2007",positive,"E2, P4",NUIURNJTPRWVAP-UHFFFAOYSA-N,CC1=C(C=CC(=C1)C2=CC(=C(C=C2)N)C)N
121-14-2,DTXSID0020529,"2,4-Dinitrotoluene",MC,"IARC, NTP, ToxRefDB, CCRIS, LCDB, Rudel2007",positive,negative,RMBFBMJGBANMMK-UHFFFAOYSA-N,CC1=C(C=C(C=C1)[N+](=O)[O-])[N+](=O)[O-]
121-66-4,DTXSID6020066,2-Amino-5-nitrothiazole,MC,"IARC, LCDB, Rudel2007",positive,-,MIHADVKEHAFNPG-UHFFFAOYSA-N,C1=C(SC(=N1)N)[N+](=O)[O-]
121-75-5,DTXSID4020791,Malathion,MC,"IARC, EPA_OPP_dismissed",positive,"E2, P4",JXSJBGJIGXNWCI-UHFFFAOYSA-N,CCOC(=O)CC(C(=O)OCC)SP(=S)(OC)OC
122-34-9,DTXSID4021268,Simazine,MC,"EPA_OPP_dismissed, ToxRefDB, Rudel2007",positive,"E2, P4",ODCWYMIRDDJXKW-UHFFFAOYSA-N,CCNC1=NC(=NC(=N1)Cl)NCC
122-66-7,DTXSID7020710,"1,2-Diphenylhydrazine",MC,"IARC, ROC15, NTP, ToxRefDB, LCDB, Rudel2007",positive,*E2,YBQZXXMEJHZYMB-UHFFFAOYSA-N,C1=CC=C(C=C1)NNC2=CC=CC=C2
123-91-1,DTXSID4020533,"1,4-Dioxane",MC,"IARC, ROC15, EPA_IRIS, CCRIS, LCDB, Rudel2007",positive,-,RYHBNJHYFVUHQT-UHFFFAOYSA-N,C1COCCO1
126-07-8,DTXSID8020674,Griseofulvin,MC,"LCDB, Rudel2007",positive,negative,DDUHZTYCFQRHIY-RBHXEPJQSA-N,C[C@@H]1CC(=O)C=C([C@]12C(=O)C3=C(O2)C(=C(C=C3OC)OC)Cl)OC
126-99-8,DTXSID5020316,Chloroprene,MC,"IARC, ROC15, NTP, EPA_IRIS, CCRIS, LCDB, Rudel2007",positive,-,YACLQRRMGMJLJV-UHFFFAOYSA-N,C=CC(=C)Cl
127-18-4,DTXSID2021319,Tetrachloroethylene,MC,IARC,positive,-,CYTYCFOTNPOANT-UHFFFAOYSA-N,C(=C(Cl)Cl)(Cl)Cl
12789-03-6,DTXSID5023954,Technical chlordane,MC,"CCRIS, Rudel2007",positive,-,BIWJNBZANLAXMG-UHFFFAOYSA-N,C1C2C(C(C1Cl)Cl)C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl
129-73-7,DTXSID7031531,Leucomalachite green,MC,"IARC, NTP_dismissed, Rudel2007",positive,-,WZKXBGJNNCGHIC-UHFFFAOYSA-N,CN(C)C1=CC=C(C=C1)C(C2=CC=CC=C2)C3=CC=C(C=C3)N(C)C
132832-26-9,DTXSID30157814,"anti-Benzo(a)chrysene-11,12-diol-13,14-epoxide",MC,"CCRIS, Rudel2007",positive,-,XIXGYVQCBZVGAV-UHFFFAOYSA-N,C1=CC=C2C(=C1)C=CC3=C4C=CC5=C(C4=C6C(=C32)O6)C(=C(C=C5)O)O
133-07-3,DTXSID0021385,Folpet,MC,EPA_OPP_dismissed,positive,negative,HKIOYBQGHSTUDB-UHFFFAOYSA-N,C1=CC=C2C(=C1)C(=O)N(C2=O)SC(Cl)(Cl)Cl
13345-61-4,DTXSID80158119,"Benz(a)anthracene-7-carboxaldehyde, 12-methyl-",MC,CCRIS,-,-,YSPPOTFPQWTIAE-UHFFFAOYSA-N,CC1=C2C(=C(C3=CC=CC=C13)C=O)C=CC4=CC=CC=C42
13394-86-0,DTXSID50158429,"2',3-Dimethyl[biphenyl]-4-amine",MC,"CCRIS, Rudel2007",positive,-,HSQVHYANHDSFFI-UHFFFAOYSA-N,CC1=CC=CC=C1C2=CC(=C(C=C2)N)C
13743-07-2,DTXSID1020726,1-(2-Hydroxyethyl)-1-nitrosourea,MC,"LCDB, Rudel2007",positive,-,IVEXWRHLJIZLHF-UHFFFAOYSA-N,C(CO)N(C(=O)N)N=O
138857-19-9,-,"Anti-4,5-dihydroxy-6,6a-epoxy-4,5,6,6a-tetrahydrobenzo[j]fluoranthene",MC,"CCRIS, Rudel2007",-,-,,
138857-21-3,DTXSID301030835,"(1aR,2R,3S,11dS)-1a,2,3,11d-Tetrahydroacenaphtho[1',2':7,8]naphtho[1,2-b]oxirene-2,3-diol",MC,"CCRIS, Rudel2007",-,-,ZJBMWUSXWCQSJP-ZGXWSNOMSA-N,C1=CC2=C3C(=C1)C4=C(C3=CC=C2)C5=C(C=C4)[C@@H]([C@H]([C@@H]6[C@H]5O6)O)O
139-40-2,DTXSID3021196,"2,4-Bis(isopropylamino)-6-chloro-1,3,5-triazine",MC,"EPA_OPP_dismissed, ToxRefDB",negative,*E2,WJNRPILHGGKWCK-UHFFFAOYSA-N,CC(C)NC1=NC(=NC(=N1)Cl)NC(C)C
139-94-6,DTXSID1020936,Nithiazide,MC,"IARC, NTP, CCRIS, LCDB, Rudel2007",positive,-,FQSUTLQHSDLLAN-UHFFFAOYSA-N,CCNC(=O)NC1=NC=C(S1)[N+](=O)[O-]
1420-04-8,DTXSID3020338,Clonitralid,MC,"NTP_equivocal, EPA_OPP_equivocal, CCRIS_equivocal, Rudel2007",-,-,XYCDHXSQODHSLG-UHFFFAOYSA-N,C1=CC(=C(C=C1[N+](=O)[O-])Cl)NC(=O)C2=C(C=CC(=C2)Cl)O.C(CO)N
142713-78-8,DTXSID7020506,"Dimethylaminoethylnitrosoethylurea, nitrite salt",MC,"LCDB, Rudel2007",positive,-,AYVSFVWEOOHHAW-UHFFFAOYSA-N,CC[NH2+]C(=O)N(CCN(C)C)N=O.N(=O)[O-]
148-82-3,DTXSID6020804,Melphalan,MC,IARC,positive,-,SGDBTWWWUNNDEQ-LBPRGKRZSA-N,C1=CC(=CC=C1C[C@@H](C(=O)O)N)N(CCCl)CCCl
149-17-7,DTXSID3020758,Isonicotinic acid vanillylidenehydrazide,MC,"LCDB, Rudel2007",-,-,PSWOBQSIXLVPDV-UHFFFAOYSA-N,COC1=C(C=CC(=C1)C=NNC(=O)C2=CC=NC=C2)O
14962-28-8,DTXSID7074539,"4-Hydroxy-2',4',6'-trichlorobiphenyl",MC,CCRIS,-,-,LTQJFLVGNGVJCX-UHFFFAOYSA-N,C1=CC(=CC=C1C2=C(C=C(C=C2Cl)Cl)Cl)O
153-78-6,DTXSID1049223,2-Aminofluorene,MC,"CCRIS, Rudel2007",positive,-,CFRFHWQYWJMEJN-UHFFFAOYSA-N,C1C2=CC=CC=C2C3=C1C=C(C=C3)N
153926-04-6,-,"Anti-dibenzo[a,l]pyrene-11,12-dihydrodiol-13,14-epoxide",MC,"CCRIS, Rudel2007",positive,-,CJAMAUFDXDSQLU-QPXUXIHVSA-N,C1=CC=C2C(=C1)C3=CC=CC4=C3C5=C2C6=C(C=C5C=C4)[C@H]([C@@H]([C@H]7[C@@H]6O7)O)O
15972-60-8,DTXSID1022265,Alachlor,MC,EPA_OPP_dismissed,positive,negative,XCSGPAVHZFQHGE-UHFFFAOYSA-N,CCC1=C(C(=CC=C1)CC)N(COC)C(=O)CCl
16170-75-5,DTXSID40273998,Sodium beta-4-methoxybenzoyl-beta-bromoacrylate,MC,LCDB,-,-,DVDCIQWIGOVWEX-UHFFFAOYSA-M,COC1=CC=C(C=C1)C(=O)C(=CC(=O)[O-])Br.[Na+]
16301-26-1,DTXSID4020585,"Z-Ethyl-O,N,N-azoxyethane",MC,"CCRIS, Rudel2007",negative,-,SZOHWYCBDJPVGO-UHFFFAOYSA-N,CCN=[N+](CC)[O-]
1694-09-3,DTXSID7021441,Benzyl Violet 4B,MC,"IARC, ToxValDB, CCRIS, LCDB, Rudel2007",positive,-,AXMCIYLNKNGNOT-UHFFFAOYSA-M,CCN(CC1=CC(=CC=C1)S(=O)(=O)[O-])C2=CC=C(C=C2)C(=C3C=CC(=[N+](C)C)C=C3)C4=CC=C(C=C4)N(CC)CC5=CC(=CC=C5)S(=O)(=O)[O-].[Na+]
179101-81-6,DTXSID8034875,Pyridalyl,MC,ToxRefDB,-,-,AEHJMNVBLRLZKK-UHFFFAOYSA-N,C1=CC(=NC=C1C(F)(F)F)OCCCOC2=C(C=C(C=C2Cl)OCC=C(Cl)Cl)Cl
18774-85-1,DTXSID6020698,N-Hexylnitrosourea,MC,"CCRIS, LCDB, Rudel2007",positive,-,JQPBCNVLZQUNCT-UHFFFAOYSA-N,CCCCCCN(C(=O)N)N=O
189-55-9,DTXSID9059751,"Dibenzo[a,i]pyrene",MC,"IARC, ROC15",positive,-,TUGYIJVAYAHHHM-UHFFFAOYSA-N,C1=CC=C2C3=C4C(=CC2=C1)C=CC5=CC6=CC=CC=C6C(=C54)C=C3
189-64-0,DTXSID4059752,"Dibenzo[a,h]pyrene",MC,"IARC, ROC15",positive,-,RXUSYFJGDZFVND-UHFFFAOYSA-N,C1=CC=C2C3=C4C(=CC2=C1)C=CC5=C4C(=CC6=CC=CC=C56)C=C3
19044-88-3,DTXSID8024238,Oryzalin,MC,"EPA_OPP, ToxRefDB",-,negative,UNAHYJYOSSSJHH-UHFFFAOYSA-N,CCCN(CCC)C1=C(C=C(C=C1[N+](=O)[O-])S(=O)(=O)N)[N+](=O)[O-]
191-30-0,DTXSID9059753,"Dibenzo[a,l]pyrene",MC,"IARC, ROC15, CCRIS, Rudel2007",positive,-,JNTHRSHGARDABO-UHFFFAOYSA-N,C1=CC=C2C(=C1)C=C3C=CC4=C5C3=C2C6=CC=CC=C6C5=CC=C4
1912-24-9,DTXSID9020112,Atrazine,MC,"IARC, EPA_OPP_dismissed, ToxRefDB, CCRIS, LCDB, Rudel2007",positive,"E2, P4",MXWJVTOOROXGIU-UHFFFAOYSA-N,CCNC1=NC(=NC(=N1)Cl)NC(C)C
1937-37-7,DTXSID7020184,C.I. Direct Black 38,MC,"IARC, ROC15, CCRIS, LCDB, Rudel2007",positive,-,XRPLBRIHZGVJIC-UHFFFAOYSA-L,C1=CC=C(C=C1)N=NC2=C(C3=C(C(=C(C=C3C=C2S(=O)(=O)[O-])S(=O)(=O)[O-])N=NC4=CC=C(C=C4)C5=CC=C(C=C5)N=NC6=C(C=C(C=C6)N)N)N)O.[Na+].[Na+]
20325-40-0,DTXSID1020485,C.I. Disperse Black 6 dihydrochloride,MC,"IARC, ROC15, NTP, ToxRefDB, CCRIS, LCDB",positive,"E2, P4",UXTIAFYTYOEQHV-UHFFFAOYSA-N,COC1=C(C=CC(=C1)C2=CC(=C(C=C2)N)OC)N.Cl.Cl
20830-81-3,DTXSID7022883,Daunorubicin,MC,"IARC, CCRIS, Rudel2007",positive,-,STQGQHZAVUOBTE-VGBVRHCVSA-N,C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)C)O)N)O
2113-61-3,DTXSID0020072,4-Biphenylamine hydrochloride,MC,LCDB,positive,-,GUHXYHYUBFCYGJ-UHFFFAOYSA-N,C1=CC=C(C=C1)C2=CC=C(C=C2)N.Cl
21638-36-8,DTXSID2020848,4-Methyl-1-[(5-nitrofurfurylidene)amino]-2-imidazolidinone,MC,"LCDB, Rudel2007",positive,-,BJUPUKIYTMVLCW-ONNFQVAWSA-N,CC1CN(C(=O)N1)/N=C/C2=CC=C(O2)[N+](=O)[O-]
21725-46-2,DTXSID1023990,Cyanazine,MC,"EPA_OPP, LCDB",positive,negative,MZZBPDKVEFVLFF-UHFFFAOYSA-N,CCNC1=NC(=NC(=N1)Cl)NC(C)(C)C#N
21739-91-3,DTXSID5020368,Cytembena,MC,"NTP, CCRIS, Rudel2007",positive,"E2, P4",DVDCIQWIGOVWEX-MLBSPLJJSA-M,COC1=CC=C(C=C1)C(=O)/C(=C\C(=O)[O-])/Br.[Na+]
21928-82-5,DTXSID3020883,(N-6)-(Methylnitroso)adenosine,MC,"LCDB, Rudel2007",-,-,AGGQXACVVHIHNR-IOSLPCCCSA-N,CN(C1=NC=NC2=C1N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)N=O
22398-80-7,DTXSID3031444,Indium phosphide,MC,"IARC, NTP_equivocal, Rudel2007",negative,-,GPXJNWSHGFTCBW-UHFFFAOYSA-N,P#[In]
23214-92-8,DTXSID8021480,Doxorubicin,MC,"IARC, ROC15, CCRIS, Rudel2007",positive,-,AOJJSUZBOXZQNB-TZSSRYMLSA-N,C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O
2393-53-5,DTXSID00946752,"17-Oxoestra-1(10),2,4-trien-3-yl benzoate",MC,"IARC, Rudel2007",-,-,HKUKRSLIEVXDMS-APDHKMKFSA-N,C[C@]12CC[C@H]3[C@H]([C@@H]1CCC2=O)CCC4=C3C=CC(=C4)OC(=O)C5=CC=CC=C5
2425-06-1,DTXSID4020242,Captafol,MC,"ROC15, EPA_OPP, LCDB, Rudel2007",positive,*P4,JHRWWRDRBPCWTF-UHFFFAOYSA-N,C1C=CCC2C1C(=O)N(C2=O)SC(C(Cl)Cl)(Cl)Cl
2432-99-7,DTXSID5020077,11-Aminoundecanoic acid,MC,ToxRefDB,negative,-,GUOSQNAUYHMCRU-UHFFFAOYSA-N,C(CCCCCN)CCCCC(=O)O
24554-26-5,DTXSID4020953,N-(4-(5-Nitro-2-furyl)-2-thiazolyl)formamide,MC,"CCRIS, Rudel2007",positive,-,ZQBWQLJJMGJREB-UHFFFAOYSA-N,C1=C(OC(=C1)[N+](=O)[O-])C2=CSC(=N2)NC=O
25321-14-6,DTXSID5027859,Dinitrotoluene,MC,ToxValDB,positive,-,DYSXLQBUUOPLBB-UHFFFAOYSA-N,CC1=C(C(=CC=C1)[N+](=O)[O-])[N+](=O)[O-]
2593-15-9,DTXSID3032547,Etridiazole,MC,EPA_OPP,-,"*E2, *P4",KQTVWCSONPJJPE-UHFFFAOYSA-N,CCOC1=NC(=NS1)C(Cl)(Cl)Cl
26049-68-3,DTXSID8020705,2-Hydrazino-4-(5-nitro-2-furyl)thiazole,MC,"CCRIS, LCDB, Rudel2007",-,-,KNRMJISYMHRPTH-UHFFFAOYSA-N,C1=C(OC(=C1)[N+](=O)[O-])C2=CSC(=N2)NN
26049-69-4,DTXSID1020518,"2-(2,2-Dimethylhydrazino)-4-(5-nitro-2-furyl)thiazole",MC,"LCDB, Rudel2007",positive,-,QXSIYYQGSPCIHN-UHFFFAOYSA-N,CN(C)NC1=NC(=CS1)C2=CC=C(O2)[N+](=O)[O-]
26049-70-7,DTXSID3020706,2-Hydrazino-4-(4-nitrophenyl)thiazole,MC,"LCDB, Rudel2007",positive,-,ZOJPXCPZDSRIKP-UHFFFAOYSA-N,C1=CC(=CC=C1C2=CSC(=N2)NN)[N+](=O)[O-]
26049-71-8,DTXSID3020704,2-Hydrazino-4-(4-aminophenyl) thiazole,MC,"LCDB, Rudel2007",positive,-,AKZHPJMVGQRYGX-UHFFFAOYSA-N,C1=CC(=CC=C1C2=CSC(=N2)NN)N
26471-62-5,DTXSID0024341,Toluene diisocyanate,MC,"IARC, ROC15, NTP, CCRIS, LCDB, Rudel2007",positive,-,DVKJHBMWWAPEIU-UHFFFAOYSA-N,CC1=C(C=C(C=C1)N=C=O)N=C=O
28754-68-9,DTXSID1020061,"trans-5-Amino-3[2-(5-nitro-2-furyl)vinyl]-1,2,4-oxadiazole",MC,"CCRIS, Rudel2007",positive,-,RMZNNIOKNRDECR-HNQUOIGGSA-N,C1=C(OC(=C1)[N+](=O)[O-])/C=C/C2=NOC(=N2)N
297-76-7,DTXSID4020614,Ethynodiol diacetate,MC,"IARC, CCRIS, Rudel2007",-,-,ONKUMRGIYFNPJW-KIEAKMPYSA-N,CC(=O)O[C@H]1CC[C@@H]2[C@H]3CC[C@]4([C@H]([C@@H]3CCC2=C1)CC[C@]4(C#C)OC(=O)C)C
298-04-4,DTXSID0022018,Disulfoton,MC,ToxRefDB,positive,negative,DOFZAZXDOSGAJZ-UHFFFAOYSA-N,CCOP(=S)(OCC)SCCSCC
302-01-2,DTXSID3020702,Hydrazine,MC,"IARC, Rudel2007",positive,-,OAKJQQAXSVQMHS-UHFFFAOYSA-N,NN
302-15-8,DTXSID9020875,Methylhydrazine sulfate,MC,"CCRIS, Rudel2007",-,-,KJDJPXUIZYHXEZ-UHFFFAOYSA-N,CNN.OS(=O)(=O)O
302-22-7,DTXSID6020274,Chlormadinone acetate,MC,"IARC, CCRIS, Rudel2007",positive,-,QMBJSIBWORFWQT-DFXBJWIESA-N,CC(=O)[C@]1(CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2C=C(C4=CC(=O)CC[C@]34C)Cl)C)OC(=O)C
303-47-9,DTXSID7021073,Ochratoxin A,MC,"ROC15, NTP, CCRIS, LCDB, Rudel2007",positive,-,RWQKHEORZBHNRI-BMIGLBTASA-N,C[C@@H]1CC2=C(C=C(C(=C2C(=O)O1)O)C(=O)N[C@@H](CC3=CC=CC=C3)C(=O)O)Cl
3031-51-4,DTXSID4020909,(S)-Furaltadone hydrochloride,MC,"LCDB, Rudel2007",-,-,PPSVFZXMDMUIGB-MERQFXBCSA-N,C1COCCN1C[C@H]2CN(C(=O)O2)N=CC3=CC=C(O3)[N+](=O)[O-].Cl
305-03-3,DTXSID7020263,Chlorambucil,MC,"IARC, CCRIS, LCDB, Rudel2007",positive,-,JCKYGMPEJWAADB-UHFFFAOYSA-N,C1=CC(=CC=C1CCCC(=O)O)N(CCCl)CCCl
3096-50-2,DTXSID6021088,N-(9-Oxo-2-fluorenyl)acetamide,MC,"LCDB, Rudel2007",-,-,PYGNVSDRIIPHQP-UHFFFAOYSA-N,CC(=O)NC1=CC2=C(C=C1)C3=CC=CC=C3C2=O
320-67-2,DTXSID9020116,5-Azacytidine,MC,"LCDB, Rudel2007",positive,-,NMUSYJAQQFHJEW-KVTDHHQDSA-N,C1=NC(=NC(=O)N1[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O)N
32852-21-4,DTXSID7020639,Formic acid 2-(4-methyl-2-thiazolyl)hydrazide,MC,"LCDB, Rudel2007",negative,-,YVPLYHWVALRLFV-UHFFFAOYSA-N,CC1=CSC(=N1)NNC=O
